DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	sample1
0	0
1	0
2	0
3	5
4	5
5	13
6	14
7	14
8	18
9	19
10	19
11	24
12	24
13	25
14	35
15	37
16	38
17	43
18	43
19	43
20	43
21	43
22	52
23	57
24	63
25	63
26	68
27	71
28	84
29	84
30	84
31	89
32	89
33	89
34	96
35	98
36	128
37	139
38	142
39	142
40	142
41	142
42	142
43	142
44	146
45	157
46	168
47	169
48	179
49	209
50	217
51	226
52	226
53	226
54	226
55	227
56	277
57	283
58	283
59	298
60	298
61	306
62	342
63	354
64	354
65	361
66	363
67	392
68	392
69	413
70	435
71	435
72	435
73	441
74	451
75	478
76	488
77	499
78	513
79	513
80	513
81	513
82	513
83	532
84	532
85	537
86	550
87	565
88	567
89	610
90	610
91	614
92	678
93	682
94	696
95	696
96	696
97	702
98	702
99	722
100	731
101	746
102	761
103	910
104	927
105	967
106	968
107	1083
108	1083
109	1142
110	1142
111	1154
112	1212
113	1215
114	1225
115	1262
116	1262
117	1348
118	1395
119	1402
120	1402
121	1424
122	1566
123	1566
124	1581
125	1583
126	1684
127	1701
128	1701
129	1701
130	1701
131	1701
132	1701
133	1701
134	1701
135	1701
136	1701
137	1701
138	1778
139	1939
140	1985
141	2097
142	2100
143	2159
144	2315
145	2344
146	2357
147	2397
148	2423
149	2447
150	2529
151	2540
152	2648
153	2648
154	2735
155	2766
156	2843
157	2850
158	2933
159	2933
160	3018
161	3110
162	3260
163	3386
164	3907
165	3907
166	4337
167	4338
168	4362
169	4437
170	5010
171	5117
172	5117
173	5117
174	5201
175	5201
176	5219
177	5219
178	5236
179	5587
180	5641
181	5675
182	5779
183	5956
184	6616
185	6772
186	6772
187	6794
188	6908
189	6989
190	7813
191	7918
192	7918
193	7918
194	7918
195	7918
196	8039
197	8145
198	8370
199	8370
200	8577
201	8906
202	8906
203	9210
204	9473
205	9583
206	9583
207	9965
208	9965
209	9965
210	9985
