DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Sample1	Sample2
0	0	0
1	0	0
2	0	0
3	5	0
4	5	0
5	13	0
6	14	6
7	14	6
8	18	7
9	19	7
10	19	9
11	24	16
12	24	25
13	25	25
14	35	30
15	37	30
16	38	33
17	43	35
18	43	37
19	43	37
20	43	44
21	43	49
22	52	51
23	57	60
24	63	63
25	63	63
26	68	68
27	71	68
28	84	92
29	84	108
30	84	111
31	89	112
32	89	117
33	89	117
34	96	117
35	98	117
36	128	117
37	139	118
38	142	123
39	142	133
40	142	135
41	142	135
42	142	137
43	142	137
44	146	146
45	157	156
46	168	163
47	169	163
48	179	173
49	209	173
50	217	180
51	226	186
52	226	186
53	226	186
54	226	186
55	227	186
56	277	213
57	283	228
58	283	280
59	298	284
60	298	317
61	306	324
62	342	324
63	354	363
64	354	376
65	361	390
66	363	416
67	392	454
68	392	455
69	413	455
70	435	475
71	435	485
72	435	501
73	441	501
74	451	502
75	478	563
76	488	563
77	499	563
78	513	564
79	513	581
80	513	604
81	513	604
82	513	604
83	532	604
84	532	604
85	537	621
86	550	641
87	565	663
88	567	663
89	610	682
90	610	682
91	614	711
92	678	771
93	682	814
94	696	814
95	696	836
96	696	858
97	702	860
98	702	867
99	722	907
100	731	907
101	746	942
102	761	963
103	910	963
104	927	988
105	967	1029
106	968	1057
107	1083	1161
108	1083	1161
109	1142	1165
110	1142	1165
111	1154	1229
112	1212	1230
113	1215	1349
114	1225	1366
115	1262	1464
116	1262	1484
117	1348	1607
118	1395	1651
119	1402	1654
120	1402	1678
121	1424	1848
122	1566	1983
123	1566	2040
124	1581	2043
125	1583	2139
126	1684	2151
127	1701	2204
128	1701	2380
129	1701	2409
130	1701	2426
131	1701	2673
132	1701	2673
133	1701	2717
134	1701	2729
135	1701	2766
136	1701	2791
137	1701	2827
138	1778	2922
139	1939	2972
140	1985	3033
141	2097	3493
142	2100	3642
143	2159	3819
144	2315	3931
145	2344	3931
146	2357	3974
147	2397	4080
148	2423	4106
149	2447	4111
150	2529	4436
151	2540	4517
152	2648	4594
153	2648	4705
154	2735	4712
155	2766	4727
156	2843	4811
157	2850	5182
158	2933	5182
159	2933	5182
160	3018	5182
161	3110	5196
162	3260	5469
163	3386	5514
164	3907	5630
165	3907	5630
166	4337	5630
167	4338	5689
168	4362	5797
169	4437	5823
170	5010	5933
171	5117	5933
172	5117	6122
173	5117	6122
174	5201	6122
175	5201	6215
176	5219	6215
177	5219	6289
178	5236	6465
179	5587	6493
180	5641	6646
181	5675	6668
182	5779	6714
183	5956	7144
184	6616	7274
185	6772	7274
186	6772	7475
187	6794	7484
188	6908	7563
189	6989	7563
190	7813	7640
191	7918	7823
192	7918	7830
193	7918	8333
194	7918	8690
195	7918	8739
196	8039	8739
197	8145	8774
198	8370	9070
199	8370	9320
200	8577	9520
201	8906	9581
202	8906	9658
203	9210	9736
204	9473	9848
205	9583	9879
206	9583	
207	9965	
208	9965	
209	9965	
210	9985	
