DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Sample1	Sample2	Sample3
0	0	0	0
1	0	0	6
2	0	0	6
3	5	0	7
4	5	0	7
5	13	0	9
6	14	6	9
7	14	6	9
8	18	7	9
9	19	7	9
10	19	9	14
11	24	16	14
12	24	25	14
13	25	25	25
14	35	30	30
15	37	30	30
16	38	33	34
17	43	35	44
18	43	37	44
19	43	37	47
20	43	44	47
21	43	49	47
22	52	51	50
23	57	60	54
24	63	63	56
25	63	63	70
26	68	68	73
27	71	68	74
28	84	92	83
29	84	108	93
30	84	111	93
31	89	112	96
32	89	117	96
33	89	117	96
34	96	117	96
35	98	117	96
36	128	117	99
37	139	118	102
38	142	123	102
39	142	133	122
40	142	135	122
41	142	135	125
42	142	137	125
43	142	137	132
44	146	146	132
45	157	156	159
46	168	163	159
47	169	163	159
48	179	173	170
49	209	173	170
50	217	180	189
51	226	186	197
52	226	186	209
53	226	186	209
54	226	186	241
55	227	186	247
56	277	213	253
57	283	228	263
58	283	280	265
59	298	284	265
60	298	317	277
61	306	324	318
62	342	324	359
63	354	363	370
64	354	376	390
65	361	390	401
66	363	416	476
67	392	454	514
68	392	455	567
69	413	455	626
70	435	475	698
71	435	485	698
72	435	501	707
73	441	501	712
74	451	502	722
75	478	563	787
76	488	563	787
77	499	563	787
78	513	564	794
79	513	581	890
80	513	604	938
81	513	604	942
82	513	604	942
83	532	604	974
84	532	604	1001
85	537	621	1019
86	550	641	1075
87	565	663	1093
88	567	663	1093
89	610	682	1093
90	610	682	1093
91	614	711	1106
92	678	771	1144
93	682	814	1157
94	696	814	1158
95	696	836	1158
96	696	858	1269
97	702	860	1278
98	702	867	1303
99	722	907	1344
100	731	907	1403
101	746	942	1415
102	761	963	1459
103	910	963	1464
104	927	988	1513
105	967	1029	1513
106	968	1057	1528
107	1083	1161	1528
108	1083	1161	1534
109	1142	1165	1535
110	1142	1165	1535
111	1154	1229	1550
112	1212	1230	1553
113	1215	1349	1647
114	1225	1366	1647
115	1262	1464	1675
116	1262	1484	1686
117	1348	1607	1738
118	1395	1651	1738
119	1402	1654	1747
120	1402	1678	1777
121	1424	1848	1792
122	1566	1983	1805
123	1566	2040	1918
124	1581	2043	1964
125	1583	2139	2215
126	1684	2151	2215
127	1701	2204	2235
128	1701	2380	2235
129	1701	2409	2241
130	1701	2426	2241
131	1701	2673	2241
132	1701	2673	2310
133	1701	2717	2310
134	1701	2729	2374
135	1701	2766	2434
136	1701	2791	2463
137	1701	2827	2610
138	1778	2922	2729
139	1939	2972	2735
140	1985	3033	2789
141	2097	3493	2862
142	2100	3642	2918
143	2159	3819	2918
144	2315	3931	2957
145	2344	3931	2957
146	2357	3974	2966
147	2397	4080	2997
148	2423	4106	3057
149	2447	4111	3063
150	2529	4436	3078
151	2540	4517	3079
152	2648	4594	3290
153	2648	4705	3290
154	2735	4712	3597
155	2766	4727	3668
156	2843	4811	3720
157	2850	5182	3720
158	2933	5182	3877
159	2933	5182	4105
160	3018	5182	4191
161	3110	5196	4215
162	3260	5469	4258
163	3386	5514	4288
164	3907	5630	4302
165	3907	5630	4324
166	4337	5630	4691
167	4338	5689	4838
168	4362	5797	4875
169	4437	5823	4991
170	5010	5933	5343
171	5117	5933	5343
172	5117	6122	5367
173	5117	6122	5695
174	5201	6122	5722
175	5201	6215	6222
176	5219	6215	6278
177	5219	6289	6342
178	5236	6465	6374
179	5587	6493	6550
180	5641	6646	6562
181	5675	6668	6775
182	5779	6714	6775
183	5956	7144	6787
184	6616	7274	7295
185	6772	7274	7307
186	6772	7475	7320
187	6794	7484	7320
188	6908	7563	7320
189	6989	7563	7345
190	7813	7640	7551
191	7918	7823	7556
192	7918	7830	7753
193	7918	8333	7762
194	7918	8690	7865
195	7918	8739	8001
196	8039	8739	8224
197	8145	8774	8446
198	8370	9070	8454
199	8370	9320	8506
200	8577	9520	8612
201	8906	9581	8791
202	8906	9658	8830
203	9210	9736	8961
204	9473	9848	8961
205	9583	9879	9269
206	9583		9438
207	9965		9444
208	9965		9522
209	9965		9522
210	9985		9522
211			9522
212			9522
213			9591
214			9974
215			9974
