DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	QiaSeq_data
0	0
1	0
2	0
3	5
4	6
5	6
6	6
7	10
8	10
9	12
10	12
11	15
12	17
13	17
14	22
15	22
16	22
17	23
18	33
19	34
20	34
21	36
22	36
23	36
24	49
25	56
26	61
27	61
28	62
29	62
30	68
31	74
32	74
33	74
34	80
35	80
36	80
37	80
38	80
39	80
40	80
41	80
42	80
43	80
44	80
45	80
46	80
47	94
48	108
49	110
50	118
51	118
52	118
53	118
54	118
55	118
56	118
57	118
58	118
59	118
60	118
61	118
62	127
63	127
64	128
65	147
66	163
67	163
68	186
69	194
70	194
71	194
72	194
73	194
74	194
75	194
76	194
77	194
78	194
79	194
80	194
81	215
82	215
83	215
84	233
85	237
86	252
87	289
88	298
89	311
90	314
91	314
92	324
93	343
94	352
95	352
96	386
97	405
98	419
99	422
100	422
101	441
102	443
103	461
104	480
105	482
106	491
107	499
108	505
109	505
110	505
111	508
112	535
113	535
114	535
115	544
116	544
117	571
118	571
119	571
120	571
121	644
122	679
123	695
124	706
125	714
126	742
127	742
128	742
129	755
130	799
131	799
132	836
133	836
134	847
135	847
136	873
137	906
138	950
139	970
140	970
141	989
142	1075
143	1075
144	1075
145	1075
146	1152
147	1152
148	1180
149	1191
150	1240
151	1255
152	1279
153	1279
154	1304
155	1347
156	1455
157	1472
158	1497
159	1584
160	1664
161	1688
162	1688
163	1688
164	1688
165	1740
166	1754
167	1825
168	1825
169	1843
170	1846
171	1906
172	1947
173	1949
174	1965
175	1990
176	2136
177	2156
178	2173
179	2178
180	2183
181	2249
182	2249
183	2249
184	2256
185	2317
186	2344
187	2654
188	2654
189	2687
190	2764
191	2833
192	2900
193	2921
194	2921
195	2921
196	2921
197	2959
198	3005
199	3005
200	3077
201	3077
202	3080
203	3084
204	3130
205	3134
206	3157
207	3160
208	3209
209	3290
210	3390
211	3390
212	3390
213	3516
214	3700
215	3804
216	3829
217	3859
218	3859
219	3865
220	4002
221	4002
222	4002
223	4002
224	4002
225	4002
226	4002
227	4002
228	4002
229	4076
230	4081
231	4129
232	4129
233	4129
234	4182
235	4266
236	4505
237	4555
238	4563
239	4637
240	4637
241	4637
242	4851
243	4926
244	5015
245	5059
246	5189
247	5273
248	5273
249	5273
250	5356
251	5444
252	5461
253	5717
254	5762
255	5820
256	6218
257	6220
258	7143
259	7237
260	7423
261	7547
262	7700
263	7762
264	7762
265	7789
266	7864
267	7962
268	8252
269	8644
270	8979
271	9240
272	9343
273	9442
274	9442
275	9442
276	9442
277	9442
278	9519
